PyLinXItemFile	record	CrLf	Tab
sampleCount	145
Variable_id23	Variable_id4	time_1	Variable_id10	Variable_id11	TestVar_0	Variable_id8
		s				
f16	f16	f16	f16	f16	f16	f16
0.0	0.0	0.0	0.0	0.0	0.0	0.0
-1.46957615898e-15	-1.46957615898e-15	0.02	0.0	0.0	-1.46957615898e-15	0.0
-2.93915231795e-15	-2.93915231795e-15	0.04	0.0	0.0	-2.93915231795e-15	0.0
-4.40872847693e-15	-4.40872847693e-15	0.06	0.0	0.0	-4.40872847693e-15	0.0
-5.87830463591e-15	-5.87830463591e-15	0.08	0.0	0.0	-5.87830463591e-15	0.0
1.39684012779e-14	1.39684012779e-14	0.1	0.0	0.0	1.39684012779e-14	0.0
3.38151071917e-14	3.38151071917e-14	0.12	0.0	0.0	3.38151071917e-14	0.0
3.23455310328e-14	3.23455310328e-14	0.14	0.0	0.0	3.23455310328e-14	0.0
-1.17566092718e-14	-1.17566092718e-14	0.16	0.0	0.0	-1.17566092718e-14	0.0
-1.32261854308e-14	-1.32261854308e-14	0.18	0.0	0.0	-1.32261854308e-14	0.0
-1.46957615898e-14	-1.46957615898e-14	0.2	0.0	0.0	-1.46957615898e-14	0.0
-5.87979018944e-14	-5.87979018944e-14	0.22	0.0	0.0	-5.87979018944e-14	0.0
-1.02900042199e-13	-1.02900042199e-13	0.24	0.0	0.0	-1.02900042199e-13	0.0
-6.17370542123e-14	-6.17370542123e-14	0.26	0.0	0.0	-6.17370542123e-14	0.0
-2.05740662257e-14	-2.05740662257e-14	0.28	0.0	0.0	-2.05740662257e-14	0.0
2.0588921761e-14	2.0588921761e-14	0.3	0.0	0.0	2.0588921761e-14	0.0
-2.35132185436e-14	-2.35132185436e-14	0.32	0.0	0.0	-2.35132185436e-14	0.0
1.7649769443e-14	1.7649769443e-14	0.34	0.0	0.0	1.7649769443e-14	0.0
5.88127574296e-14	5.88127574296e-14	0.36	0.0	0.0	5.88127574296e-14	0.0
9.99757454163e-14	9.99757454163e-14	0.38	0.0	0.0	9.99757454163e-14	0.0
1.41138733403e-13	1.41138733403e-13	0.4	0.0	0.0	1.41138733403e-13	0.0
1.8230172139e-13	1.8230172139e-13	0.42	0.0	0.0	1.8230172139e-13	0.0
2.23464709376e-13	2.23464709376e-13	0.44	0.0	0.0	2.23464709376e-13	0.0
2.64627697363e-13	2.64627697363e-13	0.46	0.0	0.0	2.64627697363e-13	0.0
3.05790685349e-13	3.05790685349e-13	0.48	0.0	0.0	3.05790685349e-13	0.0
1.76423416754e-13	1.76423416754e-13	0.5	0.0	0.0	1.76423416754e-13	0.0
2.1758640474e-13	2.1758640474e-13	0.52	0.0	0.0	2.1758640474e-13	0.0
2.58749392727e-13	2.58749392727e-13	0.54	0.0	0.0	2.58749392727e-13	0.0
2.99912380713e-13	2.99912380713e-13	0.56	0.0	0.0	2.99912380713e-13	0.0
3.410753687e-13	3.410753687e-13	0.58	0.0	0.0	3.410753687e-13	0.0
3.82238356687e-13	3.82238356687e-13	0.6	0.0	0.0	3.82238356687e-13	0.0
4.23401344673e-13	4.23401344673e-13	0.62	0.0	0.0	4.23401344673e-13	0.0
4.6456433266e-13	4.6456433266e-13	0.64	0.0	0.0	4.6456433266e-13	0.0
5.05727320647e-13	5.05727320647e-13	0.66	0.0	0.0	5.05727320647e-13	0.0
5.46890308633e-13	5.46890308633e-13	0.68	0.0	0.0	5.46890308633e-13	0.0
5.8805329662e-13	5.8805329662e-13	0.7	0.0	0.0	5.8805329662e-13	0.0
6.29216284607e-13	6.29216284607e-13	0.72	0.0	0.0	6.29216284607e-13	0.0
6.70379272593e-13	6.70379272593e-13	0.74	0.0	0.0	6.70379272593e-13	0.0
7.1154226058e-13	7.1154226058e-13	0.76	0.0	0.0	7.1154226058e-13	0.0
7.52705248566e-13	7.52705248566e-13	0.78	0.0	0.0	7.52705248566e-13	0.0
7.93868236553e-13	7.93868236553e-13	0.8	0.0	0.0	7.93868236553e-13	0.0
8.3503122454e-13	8.3503122454e-13	0.82	0.0	0.0	8.3503122454e-13	0.0
7.05663955944e-13	7.05663955944e-13	0.84	0.0	0.0	7.05663955944e-13	0.0
9.17357200513e-13	9.17357200513e-13	0.86	0.0	0.0	9.17357200513e-13	0.0
7.87989931917e-13	7.87989931917e-13	0.88	0.0	0.0	7.87989931917e-13	0.0
9.99683176486e-13	9.99683176486e-13	0.9	0.0	0.0	9.99683176486e-13	0.0
8.7031590789e-13	8.7031590789e-13	0.92	0.0	0.0	8.7031590789e-13	0.0
1.08200915246e-12	1.08200915246e-12	0.94	0.0	0.0	1.08200915246e-12	0.0
9.52641883864e-13	9.52641883864e-13	0.96	0.0	0.0	9.52641883864e-13	0.0
1.16433512843e-12	1.16433512843e-12	0.98	0.0	0.0	1.16433512843e-12	0.0
6.93907346672e-13	6.93907346672e-13	1.0	0.0	0.0	6.93907346672e-13	0.0
9.05600591241e-13	9.05600591241e-13	1.02	0.0	0.0	9.05600591241e-13	0.0
7.76233322645e-13	7.76233322645e-13	1.04	0.0	0.0	7.76233322645e-13	0.0
9.87926567214e-13	9.87926567214e-13	1.06	0.0	0.0	9.87926567214e-13	0.0
8.58559298619e-13	8.58559298619e-13	1.08	0.0	0.0	8.58559298619e-13	0.0
1.07025254319e-12	1.07025254319e-12	1.1	0.0	0.0	1.07025254319e-12	0.0
9.40885274592e-13	9.40885274592e-13	1.12	0.0	0.0	9.40885274592e-13	0.0
1.15257851916e-12	1.15257851916e-12	1.14	0.0	0.0	1.15257851916e-12	0.0
1.02321125057e-12	1.02321125057e-12	1.16	0.0	0.0	1.02321125057e-12	0.0
1.23490449513e-12	1.23490449513e-12	1.18	0.0	0.0	1.23490449513e-12	0.0
1.10553722654e-12	1.10553722654e-12	1.2	0.0	0.0	1.10553722654e-12	0.0
1.31723047111e-12	1.31723047111e-12	1.22	0.0	0.0	1.31723047111e-12	0.0
1.18786320251e-12	1.18786320251e-12	1.24	0.0	0.0	1.18786320251e-12	0.0
1.39955644708e-12	1.39955644708e-12	1.26	0.0	0.0	1.39955644708e-12	0.0
1.27018917848e-12	1.27018917848e-12	1.28	0.0	0.0	1.27018917848e-12	0.0
1.48188242305e-12	1.48188242305e-12	1.3	0.0	0.0	1.48188242305e-12	0.0
1.35251515446e-12	1.35251515446e-12	1.32	0.0	0.0	1.35251515446e-12	0.0
1.56420839903e-12	1.56420839903e-12	1.34	0.0	0.0	1.56420839903e-12	0.0
1.43484113043e-12	1.43484113043e-12	1.36	0.0	0.0	1.43484113043e-12	0.0
1.646534375e-12	1.646534375e-12	1.38	0.0	0.0	1.646534375e-12	0.0
1.5171671064e-12	1.5171671064e-12	1.4	0.0	0.0	1.5171671064e-12	0.0
1.38779983781e-12	1.38779983781e-12	1.42	0.0	0.0	1.38779983781e-12	0.0
1.59949308238e-12	1.59949308238e-12	1.44	0.0	0.0	1.59949308238e-12	0.0
1.47012581378e-12	1.47012581378e-12	1.46	0.0	0.0	1.47012581378e-12	0.0
1.68181905835e-12	1.68181905835e-12	1.48	0.0	0.0	1.68181905835e-12	0.0
1.55245178976e-12	1.55245178976e-12	1.5	0.0	0.0	1.55245178976e-12	0.0
1.76414503432e-12	1.76414503432e-12	1.52	0.0	0.0	1.76414503432e-12	0.0
1.63477776573e-12	1.63477776573e-12	1.54	0.0	0.0	1.63477776573e-12	0.0
1.8464710103e-12	1.8464710103e-12	1.56	0.0	0.0	1.8464710103e-12	0.0
1.7171037417e-12	1.7171037417e-12	1.58	0.0	0.0	1.7171037417e-12	0.0
1.92879698627e-12	1.92879698627e-12	1.6	0.0	0.0	1.92879698627e-12	0.0
1.79942971768e-12	1.79942971768e-12	1.62	0.0	0.0	1.79942971768e-12	0.0
1.67006244908e-12	1.67006244908e-12	1.64	0.0	0.0	1.67006244908e-12	0.0
2.22281620681e-12	2.22281620681e-12	1.66	0.0	0.0	2.22281620681e-12	0.0
2.09344893822e-12	2.09344893822e-12	1.68	0.0	0.0	2.09344893822e-12	0.0
1.96408166962e-12	1.96408166962e-12	1.7	0.0	0.0	1.96408166962e-12	0.0
1.83471440103e-12	1.83471440103e-12	1.72	0.0	0.0	1.83471440103e-12	0.0
2.38746815876e-12	2.38746815876e-12	1.74	0.0	0.0	2.38746815876e-12	0.0
2.25810089016e-12	2.25810089016e-12	1.76	0.0	0.0	2.25810089016e-12	0.0
2.12873362157e-12	2.12873362157e-12	1.78	0.0	0.0	2.12873362157e-12	0.0
1.99936635297e-12	1.99936635297e-12	1.8	0.0	0.0	1.99936635297e-12	0.0
2.55212011071e-12	2.55212011071e-12	1.82	0.0	0.0	2.55212011071e-12	0.0
2.42275284211e-12	2.42275284211e-12	1.84	0.0	0.0	2.42275284211e-12	0.0
2.29338557351e-12	2.29338557351e-12	1.86	0.0	0.0	2.29338557351e-12	0.0
2.16401830492e-12	2.16401830492e-12	1.88	0.0	0.0	2.16401830492e-12	0.0
2.03465103632e-12	2.03465103632e-12	1.9	0.0	0.0	2.03465103632e-12	0.0
2.58740479406e-12	2.58740479406e-12	1.92	0.0	0.0	2.58740479406e-12	0.0
2.45803752546e-12	2.45803752546e-12	1.94	0.0	0.0	2.45803752546e-12	0.0
2.32867025687e-12	2.32867025687e-12	1.96	0.0	0.0	2.32867025687e-12	0.0
2.19930298827e-12	2.19930298827e-12	1.98	0.0	0.0	2.19930298827e-12	0.0
2.752056746e-12	2.752056746e-12	2.0	0.0	0.0	2.752056746e-12	0.0
2.62268947741e-12	2.62268947741e-12	2.02	0.0	0.0	2.62268947741e-12	0.0
2.49332220881e-12	2.49332220881e-12	2.04	0.0	0.0	2.49332220881e-12	0.0
2.36395494022e-12	2.36395494022e-12	2.06	0.0	0.0	2.36395494022e-12	0.0
2.91670869795e-12	2.91670869795e-12	2.08	0.0	0.0	2.91670869795e-12	0.0
2.78734142935e-12	2.78734142935e-12	2.1	0.0	0.0	2.78734142935e-12	0.0
2.65797416076e-12	2.65797416076e-12	2.12	0.0	0.0	2.65797416076e-12	0.0
2.52860689216e-12	2.52860689216e-12	2.14	0.0	0.0	2.52860689216e-12	0.0
3.0813606499e-12	3.0813606499e-12	2.16	0.0	0.0	3.0813606499e-12	0.0
2.9519933813e-12	2.9519933813e-12	2.18	0.0	0.0	2.9519933813e-12	0.0
2.8226261127e-12	2.8226261127e-12	2.2	0.0	0.0	2.8226261127e-12	0.0
2.69325884411e-12	2.69325884411e-12	2.22	0.0	0.0	2.69325884411e-12	0.0
3.24601260184e-12	3.24601260184e-12	2.24	0.0	0.0	3.24601260184e-12	0.0
3.11664533325e-12	3.11664533325e-12	2.26	0.0	0.0	3.11664533325e-12	0.0
2.98727806465e-12	2.98727806465e-12	2.28	0.0	0.0	2.98727806465e-12	0.0
2.85791079606e-12	2.85791079606e-12	2.3	0.0	0.0	2.85791079606e-12	0.0
3.41066455379e-12	3.41066455379e-12	2.32	0.0	0.0	3.41066455379e-12	0.0
3.28129728519e-12	3.28129728519e-12	2.34	0.0	0.0	3.28129728519e-12	0.0
3.1519300166e-12	3.1519300166e-12	2.36	0.0	0.0	3.1519300166e-12	0.0
3.022562748e-12	3.022562748e-12	2.38	0.0	0.0	3.022562748e-12	0.0
2.89319547941e-12	2.89319547941e-12	2.4	0.0	0.0	2.89319547941e-12	0.0
3.44594923714e-12	3.44594923714e-12	2.42	0.0	0.0	3.44594923714e-12	0.0
3.31658196854e-12	3.31658196854e-12	2.44	0.0	0.0	3.31658196854e-12	0.0
3.18721469995e-12	3.18721469995e-12	2.46	0.0	0.0	3.18721469995e-12	0.0
3.05784743135e-12	3.05784743135e-12	2.48	0.0	0.0	3.05784743135e-12	0.0
3.61060118909e-12	3.61060118909e-12	2.5	0.0	0.0	3.61060118909e-12	0.0
3.48123392049e-12	3.48123392049e-12	2.52	0.0	0.0	3.48123392049e-12	0.0
3.3518666519e-12	3.3518666519e-12	2.54	0.0	0.0	3.3518666519e-12	0.0
3.2224993833e-12	3.2224993833e-12	2.56	0.0	0.0	3.2224993833e-12	0.0
3.77525314103e-12	3.77525314103e-12	2.58	0.0	0.0	3.77525314103e-12	0.0
3.64588587244e-12	3.64588587244e-12	2.6	0.0	0.0	3.64588587244e-12	0.0
3.51651860384e-12	3.51651860384e-12	2.62	0.0	0.0	3.51651860384e-12	0.0
3.38715133525e-12	3.38715133525e-12	2.64	0.0	0.0	3.38715133525e-12	0.0
3.93990509298e-12	3.93990509298e-12	2.66	0.0	0.0	3.93990509298e-12	0.0
3.81053782438e-12	3.81053782438e-12	2.68	0.0	0.0	3.81053782438e-12	0.0
3.68117055579e-12	3.68117055579e-12	2.7	0.0	0.0	3.68117055579e-12	0.0
3.55180328719e-12	3.55180328719e-12	2.72	0.0	0.0	3.55180328719e-12	0.0
4.10455704493e-12	4.10455704493e-12	2.74	0.0	0.0	4.10455704493e-12	0.0
3.97518977633e-12	3.97518977633e-12	2.76	0.0	0.0	3.97518977633e-12	0.0
3.84582250773e-12	3.84582250773e-12	2.78	0.0	0.0	3.84582250773e-12	0.0
3.71645523914e-12	3.71645523914e-12	2.8	0.0	0.0	3.71645523914e-12	0.0
3.58708797054e-12	3.58708797054e-12	2.82	0.0	0.0	3.58708797054e-12	0.0
4.13984172828e-12	4.13984172828e-12	2.84	0.0	0.0	4.13984172828e-12	0.0
4.01047445968e-12	4.01047445968e-12	2.86	0.0	0.0	4.01047445968e-12	0.0
3.88110719109e-12	3.88110719109e-12	2.88	0.0	0.0	3.88110719109e-12	0.0
